Meeting / File Date,Name,File Type,Media Purpose,Download Link
1/13/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090113wa.pdf
1/20/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090120cca.pdf
1/27/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090127wa.pdf
2/3/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090203cca.pdf
2/10/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090210wa.pdf
2/17/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090217cca.pdf
2/24/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090224wa.pdf
3/3/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090303cca.pdf
3/10/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090310wa.pdf
3/17/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090317cca.pdf
3/24/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090324wa.pdf
3/31/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090331CCA.pdf
4/7/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090407cca.pdf
4/14/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090414wa.pdf
5/19/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090519cca.pdf
5/26/2009,Council Workshop Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090526wa.pdf
6/2/2009,City Council Agenda,Document,Agendas,http://www.midvalecity.org/files/council/agendas/2009/20090602cca.pdf
